利用日,利用店名・商品名,利用者,支払方法,利用金額,支払手数料,支払総額,支払月,9月支払金額,10月繰越残高,10月以降支払金額
2025/8/10,ＶＩＳＡ国内利用　VS AMAZON.CO.JP,本人,1回払い,1911,0,1911,9月,1911,0,
2025/8/10,ＶＩＳＡ国内利用　VS MYBｺﾏｺﾞﾒﾛｸﾁﾖｳﾒ,本人,1回払い,1388,0,1388,9月,1388,0,
2025/8/10,ＶＩＳＡ国内利用　VS ﾑｼﾞﾙｼﾘﾖｳﾋﾝ,本人,1回払い,8279,0,8279,9月,8279,0,
2025/8/10,楽天ＳＰ　げんきまる　        701007,本人,1回払い,5588,0,5588,9月,5588,0,
2025/8/9,スギ薬局駒込店,本人,1回払い,7628,0,7628,9月,7628,0,
2025/8/9,ＶＩＳＡ国内利用　VS AMAZON.CO.JP,本人,1回払い,9300,0,9300,9月,9300,0,
2025/8/9,ＶＩＳＡ国内利用　VS AMAZON.CO.JP,本人,1回払い,691,0,691,9月,691,0,
2025/8/9,ＶＩＳＡ国内利用　VS AMAZON.CO.JP,本人,1回払い,3723,0,3723,9月,3723,0,
2025/8/8,ＶＩＳＡ国内利用　VS AMAZON.CO.JP,本人,1回払い,7999,0,7999,9月,7999,0,
2025/8/8,ＶＩＳＡ国内利用　VS AMAZON.CO.JP,本人,1回払い,5980,0,5980,9月,5980,0,
2025/8/6,ニッセン,本人,1回払い,25190,0,25190,9月,25190,0,
